method,seed,run_name,run_dir,train_steps,wrapper_or_features,eval_mean_return,eval_std_return,eval_min_return,eval_max_return,aux_1,aux_2
ppo,0,ppo_sorted_addobservation_100000_seed0,outputs/ppo_runs/ppo_sorted_addobservation_100000_seed0,100000,sorted_addobservation,-10.055999755859375,7.36470365524292,-42.0,0.0,-8.305000305175781,-8.760000228881836
ppo,1,ppo_sorted_addobservation_100000_seed1,outputs/ppo_runs/ppo_sorted_addobservation_100000_seed1,100000,sorted_addobservation,-8.704000473022461,6.535930156707764,-40.0,0.0,-7.650000095367432,-7.385000228881836
ppo,2,ppo_sorted_addobservation_100000_seed2,outputs/ppo_runs/ppo_sorted_addobservation_100000_seed2,100000,sorted_addobservation,-8.869999885559082,6.446479797363281,-40.0,0.0,-8.430000305175781,-8.550000190734863
ppo,3,ppo_sorted_addobservation_100000_seed3,outputs/ppo_runs/ppo_sorted_addobservation_100000_seed3,100000,sorted_addobservation,-8.972999572753906,6.659749984741211,-41.0,0.0,-8.774999618530273,-9.079999923706055
ppo,4,ppo_sorted_addobservation_100000_seed4,outputs/ppo_runs/ppo_sorted_addobservation_100000_seed4,100000,sorted_addobservation,-8.722999572753906,6.709863662719727,-42.0,0.0,-8.670000076293945,-8.569999694824219
dqn,0,dqn_cont_sort_diff_100000_seed0,outputs/value_runs/dqn_cont_sort_diff_100000_seed0,100000,continuous+sort+diff,-8.281999588012695,7.433469772338867,-37.0,0.0,-7.835000038146973,-8.414999961853027
dqn,1,dqn_cont_sort_diff_100000_seed1,outputs/value_runs/dqn_cont_sort_diff_100000_seed1,100000,continuous+sort+diff,-7.77400016784668,6.796684741973877,-34.0,0.0,-7.545000076293945,-7.545000076293945
dqn,2,dqn_cont_sort_diff_100000_seed2,outputs/value_runs/dqn_cont_sort_diff_100000_seed2,100000,continuous+sort+diff,-8.131999969482422,7.055960655212402,-43.0,0.0,-7.364999771118164,-7.364999771118164
dqn,3,dqn_cont_sort_diff_100000_seed3,outputs/value_runs/dqn_cont_sort_diff_100000_seed3,100000,continuous+sort+diff,-8.236000061035156,7.075047969818115,-42.0,0.0,-7.710000038146973,-7.710000038146973
dqn,4,dqn_cont_sort_diff_100000_seed4,outputs/value_runs/dqn_cont_sort_diff_100000_seed4,100000,continuous+sort+diff,-8.48900032043457,7.217193126678467,-37.0,0.0,-7.445000171661377,-7.445000171661377
qrdqn,0,qrdqn_cont_sort_diff_100000_seed0,outputs/value_runs/qrdqn_cont_sort_diff_100000_seed0,100000,continuous+sort+diff,-7.7170000076293945,6.338841438293457,-36.0,0.0,-7.46999979019165,-7.46999979019165
qrdqn,1,qrdqn_cont_sort_diff_100000_seed1,outputs/value_runs/qrdqn_cont_sort_diff_100000_seed1,100000,continuous+sort+diff,-7.798999786376953,6.270933151245117,-36.0,0.0,-7.135000228881836,-7.135000228881836
qrdqn,2,qrdqn_cont_sort_diff_100000_seed2,outputs/value_runs/qrdqn_cont_sort_diff_100000_seed2,100000,continuous+sort+diff,-8.131999969482422,6.830122470855713,-37.0,0.0,-6.980000019073486,-7.090000152587891
qrdqn,3,qrdqn_cont_sort_diff_100000_seed3,outputs/value_runs/qrdqn_cont_sort_diff_100000_seed3,100000,continuous+sort+diff,-8.256999969482422,6.538880348205566,-35.0,0.0,-7.360000133514404,-7.90500020980835
qrdqn,4,qrdqn_cont_sort_diff_100000_seed4,outputs/value_runs/qrdqn_cont_sort_diff_100000_seed4,100000,continuous+sort+diff,-8.038000106811523,6.546950340270996,-42.0,0.0,-7.579999923706055,-7.605000019073486
heuristic_rl,0,heuristic_rl_cont_sort_diff_100000_seed0,outputs/heuristic_rl_runs/heuristic_rl_cont_sort_diff_100000_seed0,100000,continuous+sort+diff,-9.15999984741211,7.159636974334717,-39.0,0.0,-8.305000305175781,-10.289999961853027
heuristic_rl,1,heuristic_rl_cont_sort_diff_100000_seed1,outputs/heuristic_rl_runs/heuristic_rl_cont_sort_diff_100000_seed1,100000,continuous+sort+diff,-8.800999641418457,6.821393013000488,-34.0,0.0,-8.305000305175781,-10.164999961853027
heuristic_rl,2,heuristic_rl_cont_sort_diff_100000_seed2,outputs/heuristic_rl_runs/heuristic_rl_cont_sort_diff_100000_seed2,100000,continuous+sort+diff,-9.213000297546387,6.7343621253967285,-40.0,0.0,-8.305000305175781,-9.989999771118164
heuristic_rl,3,heuristic_rl_cont_sort_diff_100000_seed3,outputs/heuristic_rl_runs/heuristic_rl_cont_sort_diff_100000_seed3,100000,continuous+sort+diff,-9.281999588012695,6.777645587921143,-37.0,0.0,-8.305000305175781,-9.78499984741211
heuristic_rl,4,heuristic_rl_cont_sort_diff_100000_seed4,outputs/heuristic_rl_runs/heuristic_rl_cont_sort_diff_100000_seed4,100000,continuous+sort+diff,-9.630000114440918,7.7323408126831055,-54.0,0.0,-8.305000305175781,-10.6899995803833
